,Method,Percent Edge Cutoff,MaxRes,Presistent threshold,Number of Nodes,Number of Edges,MedianDepth,MaxBreadth,Avg Leaf size,Number of genes below level one of the hierarchy,Avg number of child per level one node,"Number of Significant Systems (CC) with FDR <= 0.01, JI >= 0.2",Frac of Significant Systems (CC),"Number of Significant small Systems (CC) with FDR <= 0.01, JI >= 0.2","Number of Significant large Systems (CC) with FDR <= 0.01, JI >= 0.2",Number of components enriched in CORUM,Ratio of Enriched Systems (CORUM),"Number of Significant Systems (CORUM) with FDR <= 0.01, JI >= 0.2",Ratio of Significant Systems (CORUM),Number of Significant Systems (HCM) with FDR <= 0.01,Frac of Significant Systems (HCM),Number of unique edges in HCM enriched systems (size < 80),"Number of Significant Systems (DepMap) with FDR <= 0.01, size < 80",Frac of Significant Systems (DepMap),Number of unique edges in DepMap enriched systems (size < 80),Number of Significant Systems (BIOPLEX) with FDR <= 0.01,Frac of Significant Systems (BIOPLEX),Number of unique edges in BIOPLEX enriched systems (size < 80),Number of Significant Systems (PCNET) with FDR <= 0.01,Frac of Significant Systems (PCNET),Number of unique edges in PCNET enriched systems (size < 80),Number of Significant Systems (OPENCELL) with FDR <= 0.01,Frac of Significant Systems (OPENCELL),Number of unique edges in OPENCELL enriched systems (size < 80)
8,U2OS_5183_MUSE_256_MUSE_batch_all,0.2,20,10,228,237,2.0,97,18.46551724137931,2518,0.5,34,0.14912280701754385,30,4,50,0.21929824561403508,15,0.06578947368421052,15,0.06578947368421052,202,28,0.12280701754385964,2592,99,0.4342105263157895,1765,86,0.37719298245614036,7682,38,0.16666666666666666,1145
62,U2OS_5183_MUSE_256_MUSE_batch_all,0.2,20,15,211,214,2.0,95,19.07831325301205,2517,0.4791666666666667,29,0.13744075829383887,25,4,47,0.22274881516587677,11,0.052132701421800945,13,0.061611374407582936,202,25,0.11848341232227488,2811,91,0.4312796208530806,1796,78,0.3696682464454976,7993,33,0.15639810426540285,1172
1,U2OS_5183_MUSE_256_MUSE_batch_all,0.2,20,5,264,274,2.0,93,16.17258883248731,2553,0.46808510638297873,37,0.14015151515151514,32,5,53,0.20075757575757575,16,0.06060606060606061,16,0.06060606060606061,212,32,0.12121212121212122,2789,108,0.4090909090909091,1788,95,0.35984848484848486,8041,41,0.1553030303030303,1157
15,U2OS_5183_MUSE_256_MUSE_batch_all,0.2,40,10,253,261,2.0,96,15.767195767195767,2617,0.5567010309278351,37,0.14624505928853754,33,4,57,0.22529644268774704,18,0.07114624505928854,16,0.06324110671936758,203,32,0.12648221343873517,2696,108,0.4268774703557312,1737,94,0.3715415019762846,7422,38,0.15019762845849802,1126
64,U2OS_5183_MUSE_256_MUSE_batch_all,0.2,40,15,236,242,2.0,95,17.011049723756905,2571,0.5208333333333334,36,0.15254237288135594,32,4,57,0.24152542372881355,16,0.06779661016949153,16,0.06779661016949153,203,29,0.1228813559322034,2679,103,0.4364406779661017,1780,92,0.3898305084745763,7838,38,0.16101694915254236,1158
56,U2OS_5183_MUSE_256_MUSE_batch_all,0.2,40,5,305,316,3.0,94,13.367441860465116,2658,0.5368421052631579,42,0.1377049180327869,37,5,54,0.17704918032786884,19,0.06229508196721312,17,0.05573770491803279,207,36,0.1180327868852459,2709,118,0.38688524590163936,1785,105,0.3442622950819672,7604,43,0.14098360655737704,1145
49,U2OS_5183_MUSE_256_MUSE_batch_all,0.5,20,10,202,213,3.0,56,31.601503759398497,4530,1.6818181818181819,28,0.13861386138613863,20,8,66,0.32673267326732675,6,0.0297029702970297,18,0.0891089108910891,324,28,0.13861386138613863,4359,87,0.4306930693069307,2442,66,0.32673267326732675,10429,33,0.16336633663366337,1293
11,U2OS_5183_MUSE_256_MUSE_batch_all,0.5,20,15,180,183,3.0,70,35.07258064516129,4475,1.2173913043478262,24,0.13333333333333333,17,7,60,0.3333333333333333,6,0.03333333333333333,16,0.08888888888888889,292,26,0.14444444444444443,4244,76,0.4222222222222222,2294,57,0.31666666666666665,9463,29,0.16111111111111112,1216
32,U2OS_5183_MUSE_256_MUSE_batch_all,0.5,20,5,241,269,4.0,66,25.77241379310345,4549,1.5909090909090908,29,0.12033195020746888,20,9,70,0.29045643153526973,6,0.024896265560165973,20,0.08298755186721991,289,32,0.13278008298755187,4561,96,0.3983402489626556,2491,71,0.2946058091286307,10610,35,0.14522821576763487,1331
23,U2OS_5183_MUSE_256_MUSE_batch_all,0.5,40,10,259,270,4.0,65,24.90532544378698,4532,1.7272727272727273,35,0.13513513513513514,27,8,79,0.305019305019305,8,0.03088803088803089,17,0.06563706563706563,299,33,0.1274131274131274,4382,109,0.42084942084942084,2688,90,0.3474903474903475,11376,44,0.16988416988416988,1430
0,U2OS_5183_MUSE_256_MUSE_batch_all,0.5,40,15,236,239,4.0,64,26.509316770186334,4520,1.6818181818181819,33,0.13983050847457626,25,8,76,0.3220338983050847,8,0.03389830508474576,19,0.08050847457627118,309,30,0.1271186440677966,4305,102,0.4322033898305085,2703,86,0.3644067796610169,11506,43,0.18220338983050846,1464
16,U2OS_5183_MUSE_256_MUSE_batch_all,0.5,40,5,304,338,4.0,87,20.369565217391305,4545,1.7142857142857142,36,0.11842105263157894,27,9,77,0.2532894736842105,9,0.029605263157894735,21,0.06907894736842106,317,37,0.12171052631578948,4529,112,0.3684210526315789,2739,95,0.3125,11385,44,0.14473684210526316,1437
30,U2OS_5183_MUSE_256_MUSE_batch_all,1,20,10,150,160,4.0,35,45.252631578947366,5097,2.2222222222222223,21,0.14,12,9,63,0.42,5,0.03333333333333333,13,0.08666666666666667,275,13,0.08666666666666667,2521,41,0.2733333333333333,1236,34,0.22666666666666666,5610,18,0.12,400
37,U2OS_5183_MUSE_256_MUSE_batch_all,1,20,15,121,121,4.0,29,52.86585365853659,4863,2.2,19,0.15702479338842976,11,8,53,0.4380165289256198,5,0.04132231404958678,11,0.09090909090909091,252,14,0.11570247933884298,2654,39,0.32231404958677684,1122,29,0.2396694214876033,4549,14,0.11570247933884298,265
34,U2OS_5183_MUSE_256_MUSE_batch_all,1,20,5,184,205,5.0,45,39.31818181818182,5098,2.0,24,0.13043478260869565,14,10,63,0.3423913043478261,5,0.02717391304347826,13,0.07065217391304347,255,17,0.09239130434782608,2918,54,0.29347826086956524,1439,46,0.25,6675,22,0.11956521739130435,525
60,U2OS_5183_MUSE_256_MUSE_batch_all,1,40,10,208,222,5.0,48,32.45112781954887,5098,2.2222222222222223,21,0.10096153846153846,11,10,69,0.3317307692307692,6,0.028846153846153848,18,0.08653846153846154,272,22,0.10576923076923077,3832,67,0.32211538461538464,1813,54,0.25961538461538464,7766,28,0.1346153846153846,748
